country,text,pct,n,n_worker
India,"Manufacture of products of wood, cork, straw and plaiting materials",0.4046,182761846.6,739454
India,Manufacture of railway locomotives and rolling stock,0.0228,182761846.6,41670
India,Manufacture of refined petroleum products,0.049,182761846.6,89553
India,Manufacture of rubber products,0.0675,182761846.6,123364
India,Manufacture of special-purpose machinery,0.144,182761846.6,263177
India,Manufacture of sports goods,0.0086,182761846.6,15718
India,"Manufacture of structural metal products, tanks, reservoirs and steam generators",0.3614,182761846.6,660501
India,Manufacture of tobacco products,0.6072,182761846.6,1109730
India,Manufacture of transport equipment n.e.c.,0.0595,182761846.6,108743
India,Manufacture of vegetable and animal oils and fats,0.0413,182761846.6,75481
India,Manufacture of weapons and ammunition,0.0097,182761846.6,17728
India,"Manufacture of wearing apparel, except fur apparel",2.319,182761846.6,4238247
India,Manufacture of wiring and wiring devices,0.0745,182761846.6,136158
India,Market research and public opinion polling,0.0078,182761846.6,14255
India,Materials recovery,0.0572,182761846.6,104540
India,Medical and dental practice activities,0.0807,182761846.6,147489
India,Mining and quarrying n.e.c.,0.0159,182761846.6,29059
India,Mining of hard coal,0.0933,182761846.6,170517
India,Mining of iron ores,0.0098,182761846.6,17911
India,Mining of lignite,0.0009,182761846.6,1645
India,Mining of non-ferrous metal ores,0.0137,182761846.6,25038
India,Mixed farming,3.7554,182761846.6,6863438
India,Monetary intermediation,0.6008,182761846.6,1098033
India,"Motion picture, video and television programme activities",0.0311,182761846.6,56839
India,Non-specialized wholesale trade,0.0374,182761846.6,68353
India,Nursing care facilities,0.008,182761846.6,14621
India,Office administrative and support activities,0.2513,182761846.6,459281
India,Organization of conventions and trade shows,0.0102,182761846.6,18642
India,Other accommodation,0.0294,182761846.6,53732
India,Other amusement and recreation activities,0.0074,182761846.6,13524
India,Other education,0.2863,182761846.6,523247
India,"Other financial service activities, except insurance and pension funding activities",0.3164,182761846.6,578258
India,Other human health activities,0.3248,182761846.6,593610
India,Other information service activities,0.0983,182761846.6,179655
India,Other land transport,4.01,182761846.6,7328750
India,Other manufacturing n.e.c.,0.1807,182761846.6,330251
India,Other personal service activities,0.9543,182761846.6,1744096
India,"Other professional, scientific and technical activities n.e.c.",0.0245,182761846.6,44777
India,Other reservation service and related activities,0.0057,182761846.6,10417
India,Other residential care activities n.e.c.,0.0162,182761846.6,29607
India,Other social work activities without accommodation n.e.c.,0.1345,182761846.6,245815
India,Other specialized construction activities,0.0732,182761846.6,133782
India,Other specialized wholesale,0.3729,182761846.6,681519
India,Other telecommunications activities,0.0282,182761846.6,51539
India,Passenger air transport,0.0136,182761846.6,24856
India,Pension funding,0.0014,182761846.6,2559
India,Photographic activities,0.1275,182761846.6,233021
India,Plant propagation,0.0624,182761846.6,114043
India,Postal activities,0.0704,182761846.6,128664
India,Primary education,1.5162,182761846.6,2771035
India,Printing and service activities related to printing,0.1408,182761846.6,257329
India,Private security activities,0.1942,182761846.6,354924
India,"Processing and preserving of fish, crustaceans and molluscs and products thereof",0.048,182761846.6,87726
India,Processing and preserving of fruit and vegetables,0.0397,182761846.6,72556
India,Processing and preserving of meat,0.1196,182761846.6,218583
India,Provision of services to the community as a whole,0.4254,182761846.6,777469
India,"Publishing of books, periodicals and other publishing activities",0.0321,182761846.6,58667
India,"Quarrying of stone, sand and clay",0.1511,182761846.6,276153
India,Radio broadcasting,0.0017,182761846.6,3107
India,Real estate activities on a fee or contract basis,0.1026,182761846.6,187514
India,Real estate activities with own or leased property,0.1446,182761846.6,264274
India,Remediation activities and other waste management services,0.0026,182761846.6,4752
India,Renting and leasing of motor vehicles,0.0141,182761846.6,25769
India,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.",0.0256,182761846.6,46787
India,Renting and leasing of personal and household goods,0.1951,182761846.6,356568
India,Repair of computers and communication equipment,0.0917,182761846.6,167593
India,"Repair of fabricated metal products, machinery and equipment",0.3455,182761846.6,631442
India,Repair of personal and household goods,0.3885,182761846.6,710030
India,Reproduction of recorded media,0.0033,182761846.6,6031
India,Research  and  experimental  development  on  social  sciences  and humanities,0.0036,182761846.6,6579
India,Research and experimental development on natural sciences and engineering,0.0189,182761846.6,34542
India,"Residential care activities for mental retardation, mental health and substance abuse",0.0004,182761846.6,731
India,Residential care activities for the elderly and disabled,0.0058,182761846.6,10600
India,Restaurants and mobile food service activities,1.2309,182761846.6,2249616
India,Retail sale in non-specialized stores,0.9716,182761846.6,1775714
India,Retail sale of automotive fuel in specialized stores,0.1263,182761846.6,230828
India,Retail sale of cultural and recreation goods in specialized stores,0.1724,182761846.6,315081
India,"Retail sale of food, beverages and tobacco in specialized stores",3.6519,182761846.6,6674280
India,Retail sale of information and communications equipment in specialized stores,0.1307,182761846.6,238870
India,Retail sale of other goods in specialized stores,2.0683,182761846.6,3780063
India,Retail sale of other household equipment in specialized stores,0.9915,182761846.6,1812084
India,Retail sale via stalls and markets,0.1332,182761846.6,243439
India,"Retail trade not in stores, stalls or markets",0.2415,182761846.6,441370
India,Sale of motor vehicle parts and accessories,0.0824,182761846.6,150596
India,Sale of motor vehicles,0.1285,182761846.6,234849
India,"Sale, maintenance and repair of motorcycles and related parts and Accessories",0.3174,182761846.6,580086
India,Satellite telecommunications activities,0.0078,182761846.6,14255
India,Saw milling and planing of wood,0.0705,182761846.6,128847
India,Sea and coastal water transport,0.0168,182761846.6,30704
India,Secondary education,1.1699,182761846.6,2138131
India,Security systems service activities,0.0177,182761846.6,32349
India,Sewerage,0.0229,182761846.6,41852
India,Short term accommodation activities,0.1345,182761846.6,245815
India,Silviculture and other forestry activities,0.0411,182761846.6,75115
India,Social work activities without accommodation for the elderly and disabled,0.0147,182761846.6,26866
India,Software publishing,0.0169,182761846.6,30887
India,Sound recording and music publishing activities,0.0215,182761846.6,39294
India,Specialized design activities,0.0754,182761846.6,137802
India,"Spinning, weaving and finishing of textiles",0.5584,182761846.6,1020542
India,Sports activities,0.0259,182761846.6,47335
India,Steam and air conditioning supply,0.0034,182761846.6,6214
India,Support activities for other mining and quarrying,0.0025,182761846.6,4569
India,Support activities for petroleum and natural gas mining,0.0012,182761846.6,2193
India,Support activities for transportation,0.2308,182761846.6,421814
India,Support activities to agriculture and post-harvest crop activities,1.3656,182761846.6,2495796
India,Support services to forestry,0.019,182761846.6,34725
India,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",0.0709,182761846.6,129578
India,Technical testing and analysis,0.0083,182761846.6,15169
India,Television programming and broadcasting activities,0.0088,182761846.6,16083
India,Temporary employment agency activities,0.0193,182761846.6,35273
India,Transport via pipeline,0.0152,182761846.6,27780
India,Transport via railways,0.1204,182761846.6,220045
India,Travel agency and tour operator activities,0.0496,182761846.6,90650
India,"Trusts, funds and other financial vehicles",0.0135,182761846.6,24673
India,Veterinary activities,0.0348,182761846.6,63601
India,Warehousing and storage,0.1097,182761846.6,200490
India,Waste collection,0.0954,182761846.6,174355
India,Waste treatment and disposal,0.0068,182761846.6,12428
India,"Water collection, treatment and supply",0.1035,182761846.6,189159
India,Wholesale of agricultural raw materials and live animals,0.2527,182761846.6,461839
India,"Wholesale of food, beverages and tobacco",0.395,182761846.6,721909
India,Wholesale of household goods,0.303,182761846.6,553768
India,"Wholesale of machinery, equipment and supplies",0.1313,182761846.6,239966
India,Wholesale on a fee or contract basis,0.1134,182761846.6,207252
India,Wired telecommunications activities,0.0565,182761846.6,103260
India,Wireless telecommunications activities,0.0314,182761846.6,57387
